#x		u			Ana		Error
0.000000	0.480000		0.480000	-0.000000
0.100000	6649117093.816221	0.403675	-6649117093.412546
0.200000	-12646450638.164291	0.336332	12646450638.500624
0.300000	17404370237.482307	0.276957	-17404370237.205349
0.400000	-20457137568.822617	0.224537	20457137569.047153
0.500000	21506496102.922276	0.178065	-21506496102.744209
0.600000	-20450648953.536060	0.136537	20450648953.672596
0.700000	17393871437.088352	0.098957	-17393871436.989395
0.800000	-12635951838.220335	0.064332	12635951838.284668
0.900000	6642628478.069665	0.031675	-6642628478.037991
1.000000	0.000000		0.000000	0.000000
